rubro,categoria_id,clae2,categoria_desc,clae2_desc,lista_de_productos
PROCESADO Y ENVASADO DE HORTALIZAS,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO APICOLA,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO CEREALES Y OLEAGINOSAS,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO CULTIVOS INDUSTRIALES,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO DE CEREALES Y OLEAGINOSAS.,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO DE MANI,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO DE MANI Y SOJA,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO DE TE,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO DE TE Y MOLINO YERBA MATE,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO FRUTALES Y HORTALIZAS,2,10,Elaboradores,Elaboración de productos alimenticios,
PROCESAMIENTO PRODUCTOS ORGANICOS,2,10,Elaboradores,Elaboración de productos alimenticios,"ALGAS MARINAS, EXTRACTO DE ALGAS LIOFILIZADO ; EXTRACTO DE ALGAS LIOFILIZADO"
PROCESAMIENTO TEXTIL,2,13,Elaboradores,Elaboración de productos textiles,
PRODUCTOS PARA EL CUIDADO PERSONAL,2,32,Elaboradores,Otras industrias manufactureras,
RECOLECCION SILVESTRE,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
"SECADERO , MOLINO Y FRACCIONAMIENTO DE TE, YERBA MATE",2,10,Elaboradores,Elaboración de productos alimenticios,
SECADERO DE FRUTAS,2,10,Elaboradores,Elaboración de productos alimenticios,
SECADO,2,10,Elaboradores,Elaboración de productos alimenticios,
SECADO - DESPALILLADO - EMBOLSADO,2,10,Elaboradores,Elaboración de productos alimenticios,"OREGANO, TOMILLO, ROMERO, LAVANDA, MENTA, MAIZ, ZAPALLO ANCO"
SECADO DE FRUTAS,2,10,Elaboradores,Elaboración de productos alimenticios,
"SECADO, ACONDICIONAMIENTO, ELABORACION Y ACOPIO",2,1,Elaboradores,"Agricultura, ganadería, caza y servicios relacionados",
SECADO; PELADO; ENVASADO; ALMACENAMIENTO,2,10,Elaboradores,Elaboración de productos alimenticios,"NUECES, NUEZ SECA PELADA, NUEZ SECA CON CASCARA"
SIN DEFINIR,3,46,Comercializadores,Comercio al por mayor excepto autos y motos,"VINO ; LANA LAVADA, LANA SUCIA, TOPS DE LANA, BLOUSSE (PUNCHAS) ; MIEL ; YERBA MATE, TE NEGRO  ; GIRASOL, LINO, MAIZ, MAIZ PISINGALLO, SOJA, TRIGO, GARBANZO ; CEREALES Y OLEAGINOSAS ; CHIA (SALVIA HISPANICA L.) ; LANA LAVADA, LANA SUCIA, TOPS DE LANA ; TRUCHAS A LAS FINAS HIERBAS, PATE DE TRUCHA, TRUCA AL AJI KITUCHO ; ACEITE DE JOJOBA ; CEREALES, OLEAGINOSAS Y OTROS PRODUCTOS ORGANICOS. ; PULPA CONCENTRADA DE CIRUELA, PURE DE PERA CONCENTRADO, PURE DE DAMASCO CONCENTRADO, PURE DE DAMASCO, ZAPALLO, PULPA DE DAMASCO, ZANAHORIA, PULPA CONCENTRADA DE DURAZNO, PURE DE ZANAHORIA, PURE DE DURAZNO, PULPA DE MANZANA, PULPA DE ZANAHORIA, PULPA DE ZAPALLO, MANZANA, PULPA CONCENTRADA DE DAMASCO, PURE DE MANZANA CONCENTRADO, DURAZNO, PULPA DE DURAZNO, PERA, PURE DE PERA, PURE DE DURAZNO CONCENTRADO, CIRUELA, PULPA DE PERA, BATATA, DAMASCO, PURE DE ZAPALLO, PURE DE BATATA, PULPA CONCENTRADA DE PERA, PULPA DE CIRUELA, PULPA CONCENTRADA DE MANZANA, PURE DE MANZANA ; LANA SUCIA ; GRANOS ; GIRASOL, SOJA, MAIZ ; MIEL. ; CHIA (SALVIA HISPANICA L) ; CHIA ; CHOCOLATE ; ACEITE DE LIMPIEZA, EMULSION CORPORAL ANTIAGE, EMULSION CORPORAL NUTRITIVA, EMULSION CORPORAL SUAVIZANTE, CREMA FACIAL ANTIAGE, CREMA FACIAL DIURNA, CREMA FACIAL NOCTURNA NUTRITIVA, SERUM CONTORNO DE LABIOS, SERUM CONTORNO DE OJOS, TONICO FACIAL ; GIRASOL, ACEITE DE COLZA CANOLA, ARROZ, VINO, MAIZ, NUEZ, ACEITE DE SOJA, ACEITUNAS, CHIA (SALVIA HISPANICA L.), CIRUELA, ACEITE DE GIRASOL, ACEITE DE OLIVA, LINO, PASAS DE UVA ; TRIGO, SOJA, MAIZ, MAIZ PISINGALLO, SORGO, CANOLA, GIRASOL, ALCOHOL ; AJO, CEBOLLA, ZAPALLO ; TE ; CARNE VACUNA ; ARROZ,  LINO, ACEITE DE OLIVA, HARINA DE MAIZ, MAIZ, MIJO, TRIGO, CENTENO, CIRUELA DESHIDRATADA CON CAROZO Y MANZANA DESHIDRATADA ; CIRUELA, MANZANA, PERA, ARANDANO ; PERA, MANZANA ; FRUTILLA CONGELADA, ARANDANO CONGELADO, FRAMBUESA CONGELADA, MORAS CONGELADAS, ESPARRAGO CONGELADOS ; CIRUELA DESHIDRATADA ; ARANDANO, ARANDANO CONGELADO ; TRIGO ; PASAS DE  UVA ;  SESAMO, HIERBAS AROMATICAS, YERBA MATE, MELISA, MENTA, LAVANDA VERA, OREGANO, TOMILLO, AJEDREA, CEDRON, ESTRAGON FRANCES, SALVIA, ROMERO, LAVANDIN, ROSA MOSQUETA, MIJO, MEZCLA PARA AVES, MEZCLA PARA CARNES, MEZCLA PARA PESCADOS, TE VERDE CON MENTA, MEZCLA PARA HIERBAS FINAS, TREBOL ROJO, HISOPO, TILO, CHIA, LIMON (CASCARA), NARANJA AMARGA - (HOJA, CASCARA Y FLOR), NARANJA DULCE (CASCARA Y FLOR), POMELO (CASCARA Y SEMILLA), HOJA DE PARRA, LEMON GRAS, STEVIA, MANDIOCA ; CORTES DE CARNE VACUNA CONGELADA, CORTES DE CARNE VACUNA ENFRIADA ; CEREALES Y OLEAGINOSAS. ; PRODUCTOS ORGANICOS DE ORIGEN ANIMAL Y VEGETAL. ; ACEITE DE OLIVA ; COMERCIALIZACION DE CEREALES Y OLEAGINOSAS ; MIEL Y SUBPRODUCTOS DE LA COLMENA. ; MANI ; MANI, MANI CONFITERIA, MANI FRITO SALADO, MANI TOSTADO, ACEITE DE MANI, HARINA DE MANI ; COMERCIALIZACION DE MANI Y SUS DERIVADOS. ; MANI  ; MANI Y SOJA ; LANA SUCIA, LANA PEINADA ; PROCESAMIENTO (ACONDICIONAMIENTO) DE CEREALES Y OLEAGINOSAS ; ARROZ INTEGRAL, PULIDO, LINO, MIJO, SORGO, MAIZ, AZUCAR Y CENTENO ; AJO, ZAPALLO ; VINO, VINO ESPUMANTE ; YERBA MATE ; CEREZA, NECTARINAS , PERA, MANZANA, CIRUELA, DURAZNO ; JUGO CONCENTRADO Y PURE DE PERA ; MANZANAS Y PERAS ; MANZANAS, PERAS, UVAS, ARANDANOS ; CHIA (SALVIA HISPANICA L), TRIGO, QUINOA ; AJO ; MIEL Y SUBPRODUCTOS DE LA COLMENA ; AZUCAR DE CAÑA ; AZUCAR DE CAÑA, CHIA (SALVIA HISPANICA L), POROTO, AJO NEGRO, MELAZA, CEREALES ; TORTA DE SOJA, CHIA, HARINA DE COLZA, ARROZ, CENTENO, LINO, SORGO, AVENA,  ACEITE DE GIRASOL, ACEITE DE SOJA, HARINA DE GIRASOL, HARINA DE SOJA, TRIGO, GARBANZO, SOJA, GIRASOL, HARINA DE SOJA, COLZA, ACEITE DE COLZA, MAIZ, CARTAMO, CEBADA, MIJO ; ARROZ ; ARANDANO, MANZANA, PERA, CEREZA, ACEITE DE OLIVA, ACEITUNAS, CIRUELA ; EXPELLER DE GIRASOL, GIRASOL, ACEITE DE GIRASOL, ACEITE DE CANOLA ; YERBA MATE SUAVE, YERBA MATE CON PALO, YERBA MATE FUERTE, YERBA MATE COMPUESTA, YERBA MATE DESPALILLADA, YERBA MATE EN SAQUITOS, TE DE ROSA MOSQUETA EN SAQUITOS, TE VERDE EN SAQUITOS, TE VERDE EN HEBRAS, TE NEGRO EN SAQUITOS, TE NEGRO EN HEBRAS, SEMILLAS DE LINO, HARINA INTEGRAL SUPERFINA, ACEITUNAS NEGRAS, POROTOS DE SOJA, AZUCAR INTEGRAL DE CAÑA, REBOZADOR, HARINA DE SOJA, HARINA DE MAIZ, HARINA INTEGRAL GRUESA, HARINA INTEGRAL FINA, HARINA DE SOJA TOSTADA, SEMITA DE MAIZ, MIX PARA PREPARAR MILANESAS DE SOJA, TRIGO PAN, ACEITUNAS VERDES, ACEITE DE OLIVA ; MANI, MANI CONFITERIA, MANI FRITO SALADO, MANI TOSTADO, ACEITE DE MANI, PASTA DE MANI, HARINA DE MANI ; ESPARRAGO , MIEL, VINO,  DULCE ; MANI, MANI CONFITERIA, MANI FRITO SALADO, MANI TOSTADO, ACEITE DE MANI, HARINA DE MANI, PASTA DE MANI ; VINO, MOSTO ; ROSELLA, STEVIA, TE, TE NEGRO, TE VERDE, YERBA MATE, TE ROJO ; CIRUELA, DURAZNO, CEREZA, MANZANA, PERA, ZAPALLO ; PERA, MANZANA, CIRUELAS, DURAZNO, NECTARINAS, CEREZAS ; CHIA (SALVIA HISPANICA L.), POROTO, SESAMO ; AZUCAR DE CAÑA, CHIA (SALVIA HISPANICA L.), QUINOA, SESAMO ; FRUTILLA, FRUTILLA CONGELADA, ARANDANO, ARANDANO CONGELADO ; PULPA CONCENTRADA DE DAMASCO, PULPA CONCENTRADA DE MANZANA, PULPA CONCENTRADA DE PERA, PULPA CONCENTRADA DE CIRUELA ; CHIA (SALVIA HISPANICA L.), FRUTILLA, FRUTILLA CONGELADA, ARANDANO, ARANDANO CONGELADO ; SEMILLA DE LECHUGA, SEMILLA DE CEBOLLA ; CEREALES, OLEAGINOSAS Y LEGUMINOSAS. ; PERAS, MANZANAS, DURAZNOS, CEREZA, CIRUELAS, ZAPALLO"
nan,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados","nan ; CAMPO INCULTO ; MOSTAZA, MEMBRILLO, ZAPALLO, MENTA, SALVIA, MELISA, AJENJO, CIBOULETTE, CEDRON, ROMERO, AZAFRAN, AJI, OREGANO, LAVANDA, NOGAL, MATICO, ESTRAGON, TOMATE, ALFALFA, MONTE, INCULTO ; SIN PROD."
